token	freq	section	docs
ceti	17	titre	70921,70751
international	153	titre	70921,67939,68638,71619,74167,72932,73184,73190,69533,72113,74176,72936,73432,72934,76207,73431,75796,69180,72629,67795,75795,74449,70161,67794,72400,73875,70170,76515,70164,73684,69179,68273,70748,68885,69812,67803,76516,69813,73687,69542,67553,70749,69177,68283,72393,67944,71840,73878,69820,67945,70752,67799,70420,73883,72630,67942,68278,70422,67943,72396,70914,75071,75065,72938,75064,71835,71362,71837,76208,70916,72122,74745,68387,75063,67937,68392,75466,71614,71358,72121,75458,68384,74168,73438
forum	39	titre	70921,75796,67804,72400,70170,69543,67803,70751,70752,72122,75466,72121,75465,72120
rendezvou	37	titre	70921,75457,74748,74176,73430,75796,75797,67385,75795,73691,73875,76514,69543,68889,69177,73884,67946,70751,67561,70752,72630,73881,75466,73438
unique	77	titre	70921,68638,71619,73432,69534,72114,73183,67068,70919,73683,69817,75797,76513,70162,72629,68881,67795,69182,69815,69178,75790,75793,69185,73687,68884,67553,71842,72634,67944,73879,74455,75788,68643,67941,67799,70420,69818,69819,70421,67798,72397,74453,68279,72631,72939,75070,70915,76208,70916,72122,67937,71616,74168,73438,74169
autour	137	titre	70921,67938,70920,71357,68638,71619,74749,73185,73184,74172,74748,68639,71620,74176,73432,72116,69536,72114,73430,76212,76213,73431,73182,67068,69535,73683,67392,68881,69814,76511,70161,67794,72400,67555,68882,73685,73875,70170,70164,68273,68885,73876,67803,75793,73877,70749,70426,69177,74456,73884,72393,71842,67946,70751,72634,70745,73879,69820,70424,67558,70421,70743,68642,68640,72630,68279,72396,70914,75065,72939,72938,71612,75462,68383,71361,71615,74745,75466,71358,72121,74746,74752,68384,74168,74169,68385,75459,71617,75465,72120
textile	29	titre	70921,73685,70166,73687,70751,71361
technique	128	titre	70921,67939,73186,73434,74171,68638,70922,74749,73185,72933,72113,72936,69536,70918,71838,72934,75068,73431,73182,67068,72115,73683,75796,70162,72629,67554,67795,72399,73685,67801,73690,69179,68885,69812,73876,67383,73877,73687,68884,67553,72392,73884,72393,70751,70747,72636,67561,73689,73879,75788,69820,68643,72394,67389,67388,76508,69819,67940,72632,68642,70423,68279,67943,69538,75071,72939,71835,69539,70917,70916,74745,73189,75464,74746,74168,68391,74747
coeur	77	texte	70921,73435,73434,74172,74748,72113,72117,72116,73430,75068,73182,67068,69817,76512,68277,69182,76511,68276,69178,69186,73684,68887,68885,69184,73876,70166,75792,68283,71842,70745,71840,73879,74455,73878,70746,72637,68643,76508,72395,67798,68279,67943,72118,70914,75461,75065,71612,69539,75462,75066,75067,71361,71359,68387,75458,74168,75459
région	140	texte	70921,67939,73186,73435,73434,74171,68389,68638,74749,72933,73190,74172,74748,72113,72117,69537,74176,72114,73183,73430,76206,75068,73431,73683,69817,76512,76513,70162,76507,68275,69182,76511,67391,68276,67794,70170,76515,73684,70428,69543,68885,70166,75792,73877,73687,67553,74457,73884,71842,70745,71840,74455,75789,73878,68643,69818,74450,70421,72395,67798,70743,72630,68279,67943,72396,69538,72118,75461,75071,72938,70915,71360,75066,75067,75463,70916,71361,68387,68393,71614,71358,75458,68384,74169,68391
