    token	freq	docs
nous	458	70921,67939,73434,67938,71357,68638,74749,75457,74167,72933,73184,70923,69533,72113,73432,71621,69534,72114,75069,76206,76213,76207,73431,73182,67068,72115,68274,73683,69817,76507,68275,72629,68881,72398,67795,76511,74449,70161,68276,67794,67555,68882,73685,73875,70165,75790,72940,73684,68273,68887,68885,69812,73876,70166,75793,67383,75792,73877,67553,70749,72392,69177,74457,68283,72393,71842,72634,70745,69821,73879,68281,74455,75788,75789,68643,72394,67799,70420,74450,74451,76508,70421,67798,72630,70422,68279,72396,72631,70914,75461,75065,75064,71835,71612,70915,75462,76209,75066,68383,71836,70916,71359,74745,68387,75063,67937,74744,71614,71358,75458,74168,74169,75459,71617
projet	414	70921,67939,73186,71357,71619,74749,75457,73185,72933,73190,74172,74748,70923,69537,74176,73433,76211,72936,72937,73432,72116,69534,72114,70918,73183,73430,75069,76212,75068,67557,73683,69817,70163,76512,67386,76513,70162,76507,69816,69180,68275,68883,68277,69814,76511,67385,75794,74449,70161,69815,68276,72400,67555,69178,69811,73691,73685,73875,75790,70164,73684,69179,70428,69541,68885,73876,70166,75793,67383,75792,69813,73687,68884,67553,70749,68645,72392,69177,71842,72634,70745,73879,68281,74455,75789,70168,67945,72633,72394,67799,70420,69818,76509,74450,67388,76508,70421,72395,67798,67940,70743,68642,67942,68279,67943,72631,68641,71363,69538,72118,70914,75461,75065,72939,75064,71835,71612,75460,71360,75066,76208,75067,68383,75463,70916,71359,74751,68387,68393,75063,68392,71614,71358,72121,74746,75458,74752,73438,74169,68385,75465
chercheur	386	68388,67939,74170,73186,73435,73434,67938,68389,70922,74173,73436,72933,72932,73184,74172,71618,69533,72113,69537,73433,76210,73432,72116,69534,73183,75069,76206,72934,76213,75068,73431,74174,67068,70919,72115,67557,69181,69817,70163,76512,67386,76513,69816,68275,67556,67554,72401,69182,69814,67391,67390,75794,74449,69815,69183,68276,67555,68882,69540,68886,69178,69811,67800,75790,72940,75791,76515,70164,67801,70428,68887,70748,69812,69184,67383,75792,70167,67802,73877,70749,72635,70744,68645,71843,72392,70426,74457,72393,71842,67946,68644,70745,70753,70747,68646,70425,69821,75788,73878,68280,73688,70424,67945,71841,70746,68643,67558,72394,70420,67389,69819,70421,67940,72632,70743,72630,67942,72397,68278,70423,74452,70422,73881,72631,68641,70914,67071,75065,72939,72938,75070,71835,71612,69539,72119,70917,75462,71837,75067,75463,70916,71615,68387,73189,73188,67937,74750,72121,75464,75458,74752,68390,74168,68385,68391,75459
pas	369	70921,73434,67938,68389,71357,68638,74749,75457,74167,74173,73185,72933,72932,74172,70923,69533,72113,69537,71620,74176,72937,76210,73432,69534,72114,73183,73430,76206,72935,72934,76213,76207,73431,73182,67068,69535,72115,68274,73683,67386,76507,72629,68881,67795,76511,67391,75794,74449,70161,69183,68276,67794,67555,68882,69540,69178,73685,73875,75790,72940,76515,67801,73684,68273,68887,68885,69184,73876,70166,75793,67383,75792,73877,69813,73687,67553,70749,72635,70744,72392,69177,74457,72393,71842,68644,72634,70745,72636,67561,71840,69821,73879,74455,75789,74454,73688,68643,72394,67941,70420,74450,67388,74451,76508,69819,70421,67798,67940,72632,72630,70423,74453,70422,67943,72396,72631,70914,72939,71835,71612,70915,69539,72119,70917,71837,76209,68383,70916,71359,74745,75063,67937,74744,71614,75458,74752,68390,74168,74169,75459,71617
entreprise	354	73435,73434,73187,74171,67938,71357,71619,74749,75457,74167,73185,72933,73184,73190,74172,74748,72113,72117,74176,76211,72937,72114,74175,73430,75069,76212,72935,76213,75068,76207,73182,71839,67068,69535,67796,68274,76513,76507,72629,67795,68277,76511,67385,76510,70161,69815,72400,73691,73685,73875,70165,68273,69541,73686,73876,70166,75793,67383,75792,73687,68884,67553,73884,71842,67946,72634,70753,68646,67561,71840,73689,73879,74455,70169,70168,74454,73878,67945,71841,68643,72633,71845,72394,69818,76509,74450,74451,76508,70421,72395,72630,68278,74453,70422,72396,72118,70914,75071,75065,72939,72938,71360,75066,76208,75067,68383,71359,68387,68393,75063,68392,74744,75466,71614,72121,71616,74746,75458,74752,73438,74747,75465
aller	324	67939,74170,73434,67938,71357,68638,74749,75457,74167,73185,72933,72932,70923,69533,73432,72116,69534,72114,73183,73430,75069,76206,72935,76213,73431,73182,67068,69535,73683,69817,67387,70162,68275,72629,68881,67554,67795,68277,76511,67385,67390,76510,70161,69815,68276,67794,67555,68882,69178,73685,73875,67800,75790,76515,73684,68273,70748,73686,69812,73876,70166,75793,67383,75792,67802,73877,69813,68884,70749,72635,70744,71843,72392,73884,72393,71842,72634,70745,68646,71840,70425,73689,74455,75788,70168,70424,67945,68643,67558,72394,70420,74450,74451,70421,67798,72630,72397,70423,68279,72631,75461,75065,72938,75064,75070,71835,71612,75460,69539,71362,71360,70917,75462,71837,76209,76208,75067,68383,71836,70916,71359,74751,74745,73189,75063,67937,74744,71614,71358,74746,75458,74752,74168,75459
innovation	320	70921,74170,73186,73187,74171,67938,70920,75457,74167,72933,73190,74172,74748,69533,72113,68639,69537,71620,74176,73433,76211,72937,69536,70918,71838,73430,75069,76212,72935,72934,76213,75068,73182,71839,67068,70919,69535,67557,67796,68274,69181,70163,67386,67387,75797,70162,76507,69816,69180,67797,67556,68883,67795,68277,69814,67385,76510,70161,69815,68276,72400,68882,70165,76514,75790,75791,70164,68273,70748,69543,68885,73686,73876,67383,73687,68884,70744,72392,74456,72393,67946,70751,70753,67561,71840,73689,73879,74455,75789,70168,74454,70424,71841,70752,72633,67941,70420,73883,69818,76509,74451,73882,72395,67940,72632,70743,68642,68640,72630,67942,73880,68278,70423,74453,74452,68279,68641,71363,69538,70914,67071,75071,75065,72938,75460,71360,70917,76209,75066,76208,68383,71361,72122,71359,71615,68393,68386,74744,74750,75466,71616,74752,68384,73438,68385,74747,71617,75465,72120
ne	315	70921,67939,73434,67938,68389,71357,68638,74749,75457,74167,74173,73185,73436,72933,72932,74172,71618,70923,69533,72113,72117,71620,73433,72937,76210,73432,71621,69534,72114,73183,73430,75069,76206,72935,72934,76213,76207,73431,73182,67068,69535,72115,73683,67386,70162,72629,68881,68883,67554,67795,76511,67391,75794,74449,70161,69183,68276,67794,67555,68882,70429,73875,75790,67801,73684,68273,68887,68885,69812,69184,73876,70166,67383,75792,67802,73877,69813,73687,67553,70749,72635,70744,72392,69177,74457,72393,71842,68644,72634,70745,70747,72636,69821,73879,74455,75788,75789,71841,68643,67558,72394,67941,70420,76509,74450,67389,67388,74451,76508,70421,67798,67940,67942,70423,74453,70422,67943,72396,72631,69538,75065,72938,71835,70915,69539,70917,76209,68383,71836,70916,71359,74745,68387,75063,67937,74744,74750,71614,74746,75458,74752,74168,74169,75459,71617
année	309	67939,74170,73435,73434,74171,68389,70920,71357,68638,75457,74167,73185,73436,72933,72932,73184,71618,69533,72113,71620,76211,72937,73432,71621,69536,69534,73183,73430,76206,73431,73182,67068,72115,68274,73683,76512,67387,76507,72629,68881,72398,67795,76511,67385,70161,69815,68276,67794,72400,68882,69178,69811,73685,73875,67800,76514,75791,70170,70164,67801,73684,69179,68887,68885,73876,67803,75793,75792,70167,67802,73877,69185,69542,70744,72392,69177,74457,68283,72393,71842,68888,68646,71840,69821,68281,74455,75788,75789,74454,73878,73688,67945,72394,76509,74450,76508,70421,72395,72632,72630,73880,70423,74452,70422,73881,72396,72631,68641,75461,75071,75065,72939,75064,71835,71612,70915,69539,72119,71362,70917,75462,71837,76209,76208,68383,71836,70916,71359,74745,68387,75063,67937,68392,74744,75466,71614,71358,74746,75458,74168,74169,68385,68391,75459,74747,75465
alors	259	68388,67939,73434,67938,71357,68638,75457,74167,73185,72932,73184,69533,72113,72117,69537,73432,72116,69536,69534,70918,73183,73430,75069,76206,72934,76213,73182,67068,69535,72115,68274,69181,73683,76507,72629,68881,68883,67554,69182,76511,67385,67390,75794,74449,70161,69183,67794,67555,68882,69540,69178,69811,73685,73875,75790,72940,75791,67801,73684,68887,69812,73876,70166,75793,75792,67802,73877,68884,67553,70749,70744,68645,71843,70426,69177,71842,68644,72634,70747,72636,74455,75788,75789,74454,73688,70424,68643,72633,67558,72394,67941,70420,74450,67389,76508,69819,73882,70421,67798,72632,72630,72397,70423,70422,68279,72631,71363,75461,75065,72939,75064,75070,71835,71612,69539,72119,75462,71837,76209,75067,70916,71359,74751,74745,68387,73188,67937,74744,71614,71358,75458,68390,74168,74169,75459,71617
