token	freq	docs
19/04/2012	11	69817,69816,69814,69815,69811,69812,69813,69821,69820,69818,69819
29/09/2011	11	67796,67797,67795,67804,67794,67800,67801,67803,67802,67799,67798
1/12/2011	11	68388,68389,68383,68387,68393,68392,68386,68390,68384,68385,68391
26/03/2012	11	69533,69537,69536,69534,69535,69540,69541,69543,69542,69538,69539
11/09/2012	10	70921,70920,70922,70923,70918,70919,70914,70915,70917,70916
21/12/2012	10	71838,71839,71843,71842,71840,71841,71845,71835,71837,71836
10/09/2013	10	73875,73876,73877,73884,73879,73878,73883,73882,73880,73881
28/02/2013	10	72401,72398,72399,72400,72392,72393,72394,72395,72397,72396
5/05/2014	10	75796,75797,75795,75794,75790,75791,75793,75792,75788,75789
6/08/2014	10	76512,76513,76507,76511,76510,76514,76515,76516,76509,76508
31/05/2012	10	70163,70162,70161,70165,70170,70164,70166,70167,70169,70168
22/02/2012	10	69181,69180,69182,69183,69178,69186,69179,69184,69185,69177
22/11/2011	10	68274,68275,68277,68276,68273,68283,68281,68280,68278,68279
9/08/2012	10	70748,70749,70744,70751,70745,70753,70747,70746,70752,70743
31/01/2013	10	72113,72117,72116,72114,72115,72118,72119,72122,72121,72120
21/10/2013	10	74170,74171,74167,74173,74172,74176,74175,74174,74168,74169
19/10/2011	10	67939,67938,67946,67944,67945,67941,67940,67942,67943,67937
20/03/2014	10	75457,75461,75460,75462,75463,75466,75464,75458,75459,75465
21/12/2011	9	68638,68639,68645,68644,68646,68643,68642,68640,68641
24/01/2012	9	68881,68883,68882,68886,68887,68885,68884,68889,68888
26/03/2013	9	72629,72635,72634,72636,72637,72633,72632,72630,72631
22/07/2011	9	67392,67386,67387,67385,67391,67390,67383,67389,67388
3/06/2013	9	73186,73187,73185,73184,73190,73183,73182,73189,73188
3/07/2013	9	73435,73434,73436,73437,73433,73432,73430,73431,73438
2/12/2013	9	74449,74456,74457,74455,74454,74450,74451,74453,74452
29/06/2012	9	70429,70428,70426,70425,70424,70420,70421,70423,70422
7/08/2013	9	73683,73691,73685,73684,73690,73686,73687,73689,73688
29/11/2012	9	71619,71618,71620,71621,71612,71615,71614,71616,71617
23/12/2013	9	74749,74748,74751,74745,74744,74750,74746,74752,74747
30/04/2013	9	72933,72932,72936,72937,72935,72934,72940,72939,72938
5/02/2014	9	75069,75068,75071,75065,75064,75070,75066,75067,75063
20/06/2014	8	76211,76210,76206,76212,76213,76207,76209,76208
8/11/2012	8	71357,71363,71362,71360,71361,71359,71358,71366
30/08/2011	7	67557,67556,67554,67555,67553,67561,67558
21/06/2011	2	67068,67071
