token	freq	docs
premi	26	67071,67388,67796,67802,68278,68881,68888,69178,69818,69819,70165,71358,71836,71842,72395,72933,72938,73184,73433,73438,73881,74451,74454,74745,74747,76512
innov	25	67068,67383,68383,70752,72395,72400,72630,72933,72939,73438,73689,73883,74167,74176,74455,74748,75071,75457,75465,75797,76211,76212,76507,76514
projet	19	67388,67555,67799,68641,69534,69538,69813,69818,70164,70168,72634,72937,73190,74449,74749,75064,75067,75458,76512
autour	15	67392,67946,68384,69535,69814,70749,70751,70920,70921,71615,71619,72120,72630,73185,75466
technolog	14	67554,68276,69815,71839,72113,72117,72630,73182,73883,74168,74745,75071,75457,75461
franc	12	68383,69182,69535,69543,71358,71842,72636,73683,73684,73687,73689,74746
uniqu	11	69182,69815,69817,70915,70921,72122,72629,73183,73683,75788,76513
international	11	67803,67945,68278,69180,69542,69820,70921,72122,72400,73883,76516
nouveau	11	67795,67942,68883,69177,69179,69538,71612,71618,73182,74176,75067
édit	11	67946,70168,70169,73190,73438,73691,75066,75466,75795,75796,75797
européen	11	67555,68386,68642,69179,70164,70917,71361,73434,73880,75463,75792
grand	9	67387,67796,68387,69181,69814,71366,71621,72937,75458
outil	9	67554,68279,70170,70421,73876,75064,75788,76207,76513
développ	8	67557,67799,70749,71360,71616,72398,72935,74457
robot	8	67941,68883,70420,71614,72122,73884,74170,75791
forum	8	67804,70752,70921,72120,72121,72400,75466,75796
énerg	8	68644,68884,69540,71363,72397,72934,72940
nouvel	8	68391,68639,69533,70918,72118,72637,74170,74455
ver	8	67557,68638,69538,70914,72635,73182,74169,74175
quel	7	68283,69540,69816,75463,76206,76209,76213
colloqu	7	67561,67803,67945,70428,70749,71620,75464
méti	7	68276,68393,70161,70422,70923,73882,75457
art	7	68276,68393,70161,70422,70923,73882,75457
scienc	7	67937,68386,71620,72117,72630,72939,75067
climat	7	67803,68389,68645,69533,69816,73877,75463
contrôl	7	67390,67800,68273,68390,72119,73187,75794
system	7	68887,69538,71359,72633,72937,73185,74751
chair	6	68393,70426,70748,72398,72637,74751
industriel	6	69541,70426,72394,72933,72938,73685
rendez-vous	6	68889,69543,70752,70921,73881,74176
se	6	68888,70164,72935,73875,75071,75462
émergent	6	68386,72635,72934,74169,75063,76512
pme	6	67553,68273,70166,71614,71840,72395
paristech	6	68276,68393,70161,70422,70923,75457
institut	6	68277,68885,70753,71362,75792,76211
def	6	67794,69177,69541,71621,73182,75793
durabl	6	67561,68279,68882,70420,72398,74175
2014	6	72936,73438,75457,75465,75796,76212
vi	6	68274,71620,71845,72394,73688,75793
plant	5	67387,69182,69817,70420,72630
exempl	5	67068,68275,72115,72629,74167
test	5	67797,67801,67940,70163,73686
grâc	5	67385,70423,72933,75068,75791
mieux	5	67555,67939,70916,72397,73189
haut	5	70918,72934,73686,74451,75796
spatial	5	67939,68275,69177,70424,73434
chang	5	67803,68389,68645,69816,73877
fili	5	68273,71357,71619,74169,75797
intelligent	5	67940,67945,68883,70166,74456
format	5	67555,69819,70421,71358,71619
enfant	5	67555,70428,70749,71841,72401
alimentair	5	67555,70749,71366,74449,75069
prochain	5	69533,71612,74168,75462,76209
rapid	5	67389,68886,69183,71617,75068
techniqu	5	68391,68885,70918,70921,72399
journ	5	67392,70751,73690,76514,76516
1er	5	69185,69820,70743,73883,73884
mis	5	67387,71838,72114,74453,76507
mond	5	67387,68638,68640,73185,74170
servic	5	67387,69811,70421,72122,74174
ce	5	67554,68640,70915,72392,74745
environ	5	67071,68275,70170,70745,72392
ecol	5	68888,70743,72936,73430,75071
product	5	67391,67802,69184,73185,76507
euros	5	69815,71616,72118,72935,76510
molécul	5	70919,70922,72118,73436,75070
toulous	5	70170,71362,73185,73434,73438
contr	5	68388,69536,69813,72632,74749
étud	5	68277,69812,70745,73186,73686
dron	5	70165,73877,74450,75789
sant	5	68387,69534,72116,75465,76507
start-up	4	68643,68881,72629,76208
résultat	4	67388,67942,74449,76512
million	4	69815,71616,72118,72935
vin	4	68387,73684,76206,76512
satellit	4	69537,69811,70170,75789
an	4	68392,69811,72398,73875
sport	4	69536,73689,75797,76212
nucléair	4	69178,71619,72629,73883
mondial	4	69178,71619,72393,74454
français	4	69533,69816,71357,73186
rencontr	4	68889,74456,74748,74752
plateform	4	68385,69817,70923,74452
chez	4	67555,70749,71841,74454
forêt	4	68283,68389,69816,71837
demain	4	68279,73876,74176,74752
civil	4	70165,73883,74167,74450
ingénier	4	72937,73689,73875,76212
leur	4	72939,73188,74747,75459
jeun	4	70917,72113,72629,73185
vert	4	68278,70424,72115,75458
prix	4	67937,72633,72933,73435
congres	4	72120,72937,73882,75462
accéler	4	67943,71616,72934,72935
lanc	4	67943,67944,69813,71836
programm	4	67944,70428,71615,73683
prototyp	4	67941,70162,73186,76513
tous	4	72393,75459,75462,76509
biolog	4	71837,73688,74453,74750
homm	4	67794,68283,70745,74454
entrepris	4	67938,70753,72395,73435
aliment	4	68882,75790,75793,76213
produit	4	67799,68885,75068,75069
form	4	68884,68887,74173,76513
