token	freq	docs
ceti	2	70921,70751
international	11	70921,69180,72400,67803,76516,69542,69820,67945,73883,68278,72122
forum	8	70921,75796,67804,72400,70752,75466,72121,72120
rendez	5	70921,74176,69543,68889,70752
vous	6	70921,74176,69543,68889,70752,73881
unique	11	70921,73183,73683,69817,76513,72629,69182,69815,75788,70915,72122
autour	15	70921,70920,71619,73185,69535,67392,69814,70749,67946,70751,72630,71615,75466,68384,72120
textile	3	70921,70751,71361
technique	5	70921,70918,72399,68885,68391
agent	1	68388
protecteur	1	68388
contre	4	68388,69536,69813,72632
neurotoxicité	1	68388
mercure	1	68388
megha	1	67939
tropique	2	67939
mission	3	67939,70424,73880
spatial	5	67939,73434,68275,69177,70424
mieux	5	67939,67555,72397,70916,73189
connaître	1	67939
cycle	2	67939,71845
eau	3	67939,72399,73688
coupe	1	74170
monde	5	74170,68638,73185,67387,68640
robot	5	74170,68883,67941,70420,71614
voilier	2	74170,68883
autonome	2	74170,73185
exploit	1	74170
vaimo	2	74170,68883
cherenkov	1	73186
telescop	2	73186,70163
array	1	73186
caméra	2	73186,70420
prototyp	1	73186
français	6	73186,71357,69533,69816,73684,71358
étude	5	73186,68277,73686,69812,70745
rayon	1	73186
gamma	1	73186
cosmique	1	73186
prix	4	73435,72933,72633,67937
chercheur	3	73435,67068,75790
entrepreneur	1	73435
entreprise	4	73435,67938,70753,72395
eyetechcar	1	73435
toulous	5	73434,73185,70170,71362,73438
capitale	1	73434
européen	11	73434,67555,70164,69179,75792,68642,73880,70917,75463,71361,68386
océanographie	2	73434,67944
opérationnel	1	73434
rhepatch	1	73187
timbre	1	73187
transdermique	1	73187
électronique	2	73187,72114
administration	1	73187
contrôler	6	73187,67390,75794,67800,68273,68390
médicament	3	73187,73878,71360
eyebrain	2	74171,68646
t2	1	74171
enregistrer	1	74171
fois	2	74171,76210
mouvement	1	74171
oculaire	1	74171
tête	2	74171,70161
paléoanthropologue	1	67938
incongru	1	67938
changement	5	68389,69816,67803,73877,68645
climatique	5	68389,69816,67803,73877,68645
menacer	1	68389
forêt	4	68389,69816,68283,71837
plaine	1	68389
partenariat	3	70920,69536,68384
airbus	3	70920,72636,71617
chine	2	70920,68278
carburant	1	70920
alternatif	1	70920
quatre	2	71357,75067
scénario	2	71357,69535
filière	5	71357,71619,75797,68273,74169
équine	1	71357
horizon	2	71357,71617
2030	1	71357
izest	1	68638
vers	8	68638,74175,73182,67557,72635,69538,70914,74169
laser	2	68638,68641
puissant	1	68638
réparation	1	70922
seul	2	70922,75070
molécule	4	70922,73436,70919,75070
adn	3	70922,68644,75460
observer	1	70922
temps	3	70922,76509,69819
réel	2	70922,69819
formation	5	71619,67555,69819,70421,71358
exenuc	1	71619
enjeu	1	71619
stratégique	2	71619,68642
nucléaire	4	71619,72629,69178,73883
mondial	4	71619,69178,72393,74454
contrer	1	74749
voire	2	74749,74750
ralentir	1	74749
processus	1	74749
vieillissemer	1	74749
projet	19	74749,73190,72937,69534,76512,74449,67555,70164,69813,72634,70168,67799,69818,67388,68641,69538,75064,75067,75458
nu	1	74749
age	1	74749
art	7	75457,70923,70161,68276,73882,70422,68393
métier	7	75457,70923,70161,68276,73882,70422,68393
paristech	6	75457,70923,70161,68276,70422,68393
innover	4	75457,67068,67383,74455
bachelor	1	75457
technologie	10	75457,72113,72117,73182,67554,69815,68276,72630,75461,74745
dès	1	75457
septembre	1	75457
2014	6	75457,72936,76212,75796,73438,75465
challenge	1	74167
innovation	20	74167,72933,74748,74176,76211,76212,75797,76507,72400,76514,67383,73689,70752,73883,72395,72630,75071,68383,73438,75465
exemple	5	74167,67068,72115,68275,72629
sunaéro	1	74167
aviation	1	74167
civil	4	74167,70165,73883,74450
militaire	1	74167
parkinson	2	74173,68646
type	1	74173
