token	freq	docs
focus	89	67068,67383,67553,67554,67555,67794,67795,67937,67938,67939,68273,68274,68275,68276,68383,68638,68881,68882,69177,69178,69179,69533,69534,69535,69811,69812,69813,70161,70162,70420,70421,70422,70914,70915,70916,71357,71358,71359,71612,71614,71835,71836,71837,72113,72114,72115,72116,72392,72393,72394,72629,72630,72631,72932,72933,73182,73183,73184,73185,73430,73431,73432,73683,73684,73685,73875,73876,73877,74167,74168,74169,74449,74450,74744,74745,74746,75063,75064,75065,75457,75458,75459,75788,75789,75790,76206,76207,76507,76508
actualité innovation	66	67071,67385,67386,67387,67556,67557,67796,67797,67940,67941,67942,68277,68278,68384,68385,68386,68639,68640,68641,68642,68883,68884,69180,69181,69536,69537,69814,69815,69816,70163,70164,70165,70423,70424,70743,70744,70917,70918,70919,70920,71360,71615,71616,71617,71838,71839,71840,71841,72632,72633,72934,72935,73186,73187,73686,73687,73880,74170,74171,74451,74452,74453,74454,74747,75791,76208
evénement	53	67392,67561,67803,67804,67945,67946,68889,69186,69542,69543,69820,70168,70169,70170,70428,70749,70751,70752,71363,71620,71845,72120,72121,72122,72399,72400,72937,72938,72939,73190,73438,73689,73690,73691,73881,73882,73883,73884,74174,74175,74176,74456,75071,75464,75465,75466,75795,75796,75797,76212,76514,76515,76516
en direct des laboratoires	40	67389,67390,67391,67558,67800,67801,67802,68280,68388,68389,68390,68391,68644,68645,68646,68886,68887,69183,69184,69539,69540,69819,70167,70746,70747,70922,71618,71843,72119,72397,72635,73188,73189,73436,73688,74173,74750,75070,75794,76210
au coeur des régions	28	67798,67943,68279,68387,68643,68885,69182,69817,70166,70745,70921,71361,71842,72117,72118,72395,73434,73435,73878,74455,74748,75066,75067,75068,75461,75792,76511,76512
du côté des pôles	12	67388,67799,69818,72396,72634,73879,74172,74749,75069,75462,75793,76209
a lire	11	68283,69821,70429,70753,71366,71621,72401,72940,74457,74752,76213
horizon enseignement	10	67944,69185,70426,70748,71362,72398,72636,72637,72936,73437
horizons enseignement	8	68281,68392,68393,68888,69541,70923,74751,76513
actualités innovations	4	69538,75460,76509,76510
actualité-innovation	1	70425
horizon formation	1	71619
actualités innovation	1	73433
en direct des labos	1	75463
horizons formation enseignement	1	76211
