token	freq	docs
focus	89	67939,67938,71357,68638,75457,74167,73185,72933,72932,73184,69533,72113,73432,72116,69534,72114,73183,73430,76206,76207,73431,73182,67068,69535,72115,68274,73683,70162,76507,68275,72629,68881,67554,67795,74449,70161,68276,67794,67555,68882,69178,69811,73685,73875,75790,73684,69179,68273,69812,73876,67383,73877,69813,67553,72392,69177,72393,75788,75789,72394,70420,74450,76508,70421,72630,70422,72631,70914,75065,75064,71835,71612,70915,71837,68383,71836,70916,71359,74745,75063,67937,74744,71614,71358,74746,75458,74168,74169,75459
actualité innovation	66	74170,73186,73187,74171,70920,68639,69537,69536,70918,71838,72935,72934,71839,70919,67557,67796,69181,70163,67386,67387,69816,69180,67797,67556,68883,68277,69814,67385,69815,70165,75791,70164,73686,73687,68884,70744,71840,74454,70424,71841,72633,67941,74451,67940,72632,70743,68642,68640,67942,73880,68278,70423,74453,74452,68641,67071,71360,70917,76208,71615,68386,71616,68384,68385,74747,71617
evénement	53	73190,71620,74176,72937,74175,76212,74174,75796,67392,75797,75795,67804,72399,72400,73691,76514,70170,76515,69186,73690,70428,69543,67803,76516,69542,70749,68889,74456,73884,67946,70751,67561,73689,70169,70168,69820,67945,70752,71845,73883,73882,73881,71363,75071,72939,72938,72122,75466,72121,75464,73438,75465,72120
en direct des laboratoires	40	68388,68389,70922,74173,73436,71618,76210,67391,67390,75794,69183,69540,68886,67800,67801,68887,69184,70167,67802,72635,68645,71843,68644,70747,68646,68280,73688,70746,67558,67389,69819,72397,75070,69539,72119,73189,73188,74750,68390,68391
au coeur des régions	28	70921,73435,73434,74748,72117,75068,69817,76512,69182,76511,68885,70166,75792,71842,70745,74455,73878,68643,72395,67798,68279,67943,72118,75461,75066,75067,71361,68387
du côté des pôles	12	74749,74172,75069,75793,72634,73879,67799,69818,67388,72396,75462,76209
a lire	11	71621,76213,72401,70429,72940,74457,68283,70753,69821,71366,74752
horizon enseignement	10	73437,72936,72398,70748,69185,70426,72636,67944,72637,71362
horizons enseignement	8	70923,76513,69541,68888,68281,74751,68393,68392
actualités innovations	4	76510,76509,69538,75460
horizon formation	1	71619
actualités innovation	1	73433
horizons formation enseignement	1	76211
actualité-innovation	1	70425
en direct des labos	1	75463
